brand;product_notes;ref_article;gtin;product_name;updated_at;quantity;product_description;product_image
IDTOLIGHT;COMO;IDTL510269NZZ;5404023012807;Bague noire pour COMO 7;01.02.26;1;Sources;
IDTOLIGHT;COMO;IDTL510270BZZ;5404023012814;Bague blanche pour COMO 7;01.02.26;1;Sources;
IDTOLIGHT;COMO;IDTL510271TMZ;5404023012821;Abat-jour boule Ambre pour COMO 7;01.02.26;1;Abat-jour;
IDTOLIGHT;COMO;IDTL510272TGZ;5404023012838;Abat-jour boule Fumé pour COMO 7;01.02.26;1;Abat-jour;
IDTOLIGHT;COMO;IDTL510273NZZ;5404023012845;Bague noire pour COMO 4,5/T10-T13;01.02.26;1;Sources;
IDTOLIGHT;ALBA;IDTL530324ZZZ;5404023013361;ALBA Radio Emetteur portable monochrome 8 zones;01.02.26;1;Contrôleurs;
IDTOLIGHT;PULA;IDTL530325ZZZ;5404023013378;PULA Radio Emetteur portable RGB/RGB+W 4 zones;01.02.26;1;Contrôleurs;
IDTOLIGHT;RIVA;IDTL530326ZZZ;5404023013385;RIVA Radio Emetteur portable RGB digital 1 zone;01.02.26;1;Contrôleurs;
IDTOLIGHT;SION;IDTL530327ZZZ;5404023013392;SION Contrôleur Radio RGB digital 24V;01.02.26;1;Contrôleurs;
IDTOLIGHT;TERNI;IDTL530328ZZZ;5404023013408;TERNI Contrôleur Radio monochrome/RGB 230V;01.02.26;1;Contrôleurs;
IDTOLIGHT;LAVERTON;IDTL530468ZZZ;5404023014979;LAVERTON Emetteur Bicolore 4 Zones;01.02.26;1;Contrôleurs;
IDTOLIGHT;MULLEWA;IDTL530469ZZZ;5404023014986;MULLEWA Récepteur Uniquement Monochrome;01.02.26;1;Contrôleurs;
IDTOLIGHT;MADURA;IDTL530470ZZZ;5404023014993;MADURA Récepteur RGB/RGB+W/Bicolore;01.02.26;1;Contrôleurs;
IDTOLIGHT;JABIRU;IDTL530471ZZZ;5404023015006;JABIRU Récepteur Radio/Tuya/Wifi;01.02.26;1;Contrôleurs;
IDTOLIGHT;TARCOOLA;IDTL530472ZZZ;5404023015013;TARCOOLA Emetteur Mural RGB/ RGB+W Blanc;01.02.26;1;Contrôleurs;
IDTOLIGHT;TARCOOLA;IDTL530473ZZZ;5404023015020;TARCOOLA Emetteur Mural RGB/RGB+W Noir;01.02.26;1;Contrôleurs;
IDTOLIGHT;KALBARRI;IDTL530474ZZZ;5404023015037;KALBARRI Récepteur Radio+BP Avec Alimentation 75W;01.02.26;1;Contrôleurs;
IDTOLIGHT;DAVENPORT;IDTL530475ZZZ;5404023015044;DAVENPORT Récepteur Radio+BP Avec Alimentation 150W;01.02.26;1;Contrôleurs;
IDTOLIGHT;CEDUNA;IDTL530476ZZZ;5404023015051;CEDUNA Récepteur Mini RF Monochrome;01.02.26;1;Contrôleurs;
IDTOLIGHT;ARAMAC;IDTL530477ZZZ;5404023015068;ARAMAC Kit Emetteur/Récepteur Monochrome;01.02.26;1;Contrôleurs;
IDTOLIGHT;KARRATHA;IDTL530478ZZZ;5404023015075;KARRATHA Kit Emetteur/Récepteur RGB;01.02.26;1;Contrôleurs;
IDTOLIGHT;DUBBO;IDTL530479ZZZ;5404023015082;DUBBO Kit Emetteur/Récepteur RGB+W 1 Zone;01.02.26;1;Contrôleurs;
IDTOLIGHT;ALBURY;IDTL530480ZZZ;5404023015099;ALBURY Emetteur Mural RF Monochrome Batterie 4 Zones Blanc;01.02.26;1;Contrôleurs;
IDTOLIGHT;ALBURY;IDTL530481ZZZ;5404023015105;ALBURY Emetteur Mural RF Monochrome Batterie 4 Zones Noir;01.02.26;1;Contrôleurs;
IDTOLIGHT;TILPA;IDTL530482ZZZ;5404023015112;TILPA Emetteur Mural Monochrome 230V Blanc;01.02.26;1;Contrôleurs;
IDTOLIGHT;TILPA;IDTL530483ZZZ;5404023015129;TILPA Emetteur Mural Monochrome 230V Noir;01.02.26;1;Contrôleurs;
IDTOLIGHT;YARAKA;IDTL530484ZZZ;5404023015136;YARAKA Emetteur Radio RGB+CCT 4 Zones RGB+CCT COB;01.02.26;1;Contrôleurs;
IDTOLIGHT;WINTON;IDTL530485ZZZ;5404023015143;WINTON Récepteur Radio/Tuya/Wifi 360W;01.02.26;1;Contrôleurs;
IDTOLIGHT;ONSLOW;IDTL530486ZZZ;5404023015150;ONSLOW Contrôleur Pour Marche D'Escalier;01.02.26;1;Contrôleurs;
IDTOLIGHT;MERINO;IDTL530490ZZZ;5404023015181;MERINO Emetteur Mural RF RGB/RGB-W Batterie 4 Zones Blanc;01.02.26;1;Contrôleurs;
IDTOLIGHT;MERINO;IDTL530491ZZZ;5404023015198;MERINO Emetteur Mural RF RGB/RGB-W Batterie 4 Zones Noir;01.02.26;1;Contrôleurs;
IDTOLIGHT;Forfait;IDTL550000ZZZ;0;FORFAIT COUPE ET SOUDURE IP20;01.02.26;1;Soudures et câble;
IDTOLIGHT;Forfait;IDTL550001ZZZ;0;FORFAIT COUPE ET SOUDURE IP65 ET IP68;01.02.26;1;Soudures et câble;
IDTOLIGHT;Forfait;IDTL550002ZZZ;0;FORFAIT CABLAGE MONOCHROME 1M;01.02.26;1;Soudures et câble;
IDTOLIGHT;Forfait;IDTL550003ZZZ;0;FORFAIT CABLAGE RGB 1M;01.02.26;1;Soudures et câble;
IDTOLIGHT;Forfait;IDTL550004ZZZ;0;FORFAIT CABLAGE RGB+W 1M;01.02.26;1;Soudures et câble;
IDTOLIGHT;Forfait;IDTL550007ZZZ;0;FORFAIT COUPE ET SOUDURE IP67;01.02.26;1;Soudures et câble;
IDTOLIGHT;OLINDA;IDTL550008BZC;5404023010131;OLINDA Ruban LED 5m 2700K DC24V 3W/m IP20 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;OLINDA;IDTL550009BZE;5404023010148;OLINDA Ruban LED 5m 3000K DC24V 3W/m IP20 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;OLINDA;IDTL550010BZD;5404023010155;OLINDA Ruban LED 5m 4000K DC24V 3W/m IP20 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;OLINDA;IDTL550011BZC;5404023010162;OLINDA Ruban LED 5m 2700K DC24V 3W/m IP67 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;OLINDA;IDTL550012BZE;5404023010179;OLINDA Ruban LED 5m 3000K DC24V 3W/m IP67 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;OLINDA;IDTL550013BZD;5404023010186;OLINDA Ruban LED 5m 4000K DC24V 3W/m IP67 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;OLINDA;IDTL550014BZC;5404023010193;OLINDA Ruban LED 50m 2700K DC24V 3W/m IP20 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;OLINDA;IDTL550015BZE;5404023010209;OLINDA Ruban LED 50m 3000K DC24V 3W/m IP20 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;OLINDA;IDTL550016BZD;5404023010216;OLINDA Ruban LED 50m 4000K DC24V 3W/m IP20 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;OLINDA;IDTL550017BZC;5404023010223;OLINDA Ruban LED 50m 2700K DC24V 3W/m IP67 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;OLINDA;IDTL550018BZE;5404023010230;OLINDA Ruban LED 50m 3000K DC24V 3W/m IP67 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;OLINDA;IDTL550019BZD;5404023010247;OLINDA Ruban LED 50m 4000K DC24V 3W/m IP67 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;BELEM;IDTL550020BZC;5404023010254;BELEM Ruban LED 5m 2700K DC24V 14,4W/m IP20 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;BELEM;IDTL550021BZE;5404023010261;BELEM Ruban LED 5m 3000K DC24V 14,4W/m IP20 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;BELEM;IDTL550022BZD;5404023010278;BELEM Ruban LED 5m 4000K DC24V 14,4W/m IP20 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;BELEM;IDTL550023BZC;5404023010285;BELEM Ruban LED 5m 2700K DC24V 14,4W/m IP67 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;BELEM;IDTL550024BZE;5404023010292;BELEM Ruban LED 5m 3000K DC24V 14,4W/m IP67 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;BELEM;IDTL550025BZD;5404023010308;BELEM Ruban LED 5m 4000K DC24V 14,4W/m IP67 CRI90;01.02.26;1;Rubans LED;
IDTOLIGHT;Forfait;IDTL550030ZZZ;0;FORFAIT COUPE ET SOUDURE IP66;01.02.26;1;Soudures et câble;
IDTOLIGHT;EVORA;IDTL550075BZD;5404023010872;EVORA Ruban LED 1m 4000K DC24V 4,8W/m IP67;01.02.26;1;Rubans LED;
IDTOLIGHT;CALLAO;IDTL550079BZC;5404023010919;CALLAO ruban LED 1m 2700K DC24V 8,6W/m IP20;01.02.26;1;Rubans LED;
IDTOLIGHT;CALLAO;IDTL550080BZE;5404023010926;CALLAO ruban LED 1m 3000K DC24V 8,6W/m IP20;01.02.26;1;Rubans LED;
IDTOLIGHT;CALLAO;IDTL550081BZD;5404023010933;CALLAO ruban LED 1m 4000K DC24V 8,6W/m IP20;01.02.26;1;Rubans LED;
IDTOLIGHT;CALLAO;IDTL550082BZC;5404023010940;CALLAO ruban LED 1m 2700K DC24V 8,6W/m IP67;01.02.26;1;Rubans LED;
IDTOLIGHT;CALLAO;IDTL550083BZE;5404023010957;CALLAO ruban LED 1m 3000K DC24V 8,6W/m IP67;01.02.26;1;Rubans LED;
IDTOLIGHT;CALLAO;IDTL550084BZD;5404023010964;CALLAO ruban LED 1m 4000K DC24V 8,6W/m IP67;01.02.26;1;Rubans LED;
IDTOLIGHT;HABANA;IDTL550088BZC;5404023011008;HABANA Ruban LED 1m 2700K DC24V 14W/m IP67;01.02.26;1;Rubans LED;
IDTOLIGHT;HABANA;IDTL550089BZD;5404023011015;HABANA Ruban LED 1m 4000K DC24V 14W/m IP67;01.02.26;1;Rubans LED;
IDTOLIGHT;HABANA;IDTL550090BZC;5404023011022;HABANA Ruban LED 1m 2700K DC24V 14W/m IP68;01.02.26;1;Rubans LED;
IDTOLIGHT;HABANA;IDTL550091BZE;5404023011039;HABANA Ruban LED 1m 3000K DC24V 14W/m IP68;01.02.26;1;Rubans LED;
IDTOLIGHT;HABANA;IDTL550092BZD;5404023011046;HABANA Ruban LED 1m 4000K DC24V 14W/m IP68;01.02.26;1;Rubans LED;
IDTOLIGHT;HABANA 2.0;IDTL550093BZC;5404023011053;HABANA 2.0 Ruban LED 1m 2700K DC24V 14W/m IP20;01.02.26;1;Rubans LED;
IDTOLIGHT;HABANA 2.0;IDTL550094BZE;5404023011060;HABANA 2.0 Ruban LED 1m 3000K DC24V 14W/m IP20;01.02.26;1;Rubans LED;
IDTOLIGHT;HABANA 2.0;IDTL550095BZD;5404023011077;HABANA 2.0 Ruban LED 1m 4000K DC24V 14W/m IP20;01.02.26;1;Rubans LED;
IDTOLIGHT;HABANA 2.0;IDTL550096BZC;5404023011084;HABANA 2.0 Ruban LED 1m 2700K DC24V 14W/m IP67;01.02.26;1;Rubans LED;
